entry_zone,forward_close_return,forward_max_drawdown,forward_max_return,forward_min_return_from_entry,forward_path_max_drawdown,hit_3x,hit_5x,name,period_date,rank,score_total,stage,strategy_name,symbol,trade_date
early_watch,0.094170403587444,-0.04484304932735428,0.21076233183856496,-0.04484304932735428,-0.11599999999999999,0,0,豐泰,2025-05-02,4,16.6,S2,random_top_n,9910,2025-05-02
early_watch,0.13737075332348603,-0.07828655834564258,0.15805022156573112,-0.07828655834564258,-0.20408163265306134,0,0,青雲,2025-05-02,5,3.0,S2,random_top_n,5386,2025-05-02
early_watch,0.09268292682926838,0.004878048780487809,0.4926829268292683,0.004878048780487809,-0.2941176470588235,0,0,五福,2025-05-02,6,20.6,S2,random_top_n,2745,2025-05-02
early_watch,-0.2170686456400741,-0.2170686456400741,0.0018552875695732052,-0.2170686456400741,-0.21851851851851845,0,0,恒耀,2025-05-02,7,14.6,S2,random_top_n,8349,2025-05-02
early_watch,0.4955089365561052,-0.04041922835759015,0.7889220739617229,-0.04041922835759015,-0.2610878405710644,0,0,偉訓,2025-05-02,8,5.0,S2,random_top_n,3032,2025-05-02
early_watch,0.05785123966942152,-0.14049586776859502,0.11983471074380159,-0.14049586776859502,-0.1578947368421053,0,0,精誠,2025-05-02,9,14.6,S2,random_top_n,6214,2025-05-02
early_watch,0.391089108910891,0.01980198019801982,0.4455445544554455,0.01980198019801982,-0.09375,0,0,卜蜂,2025-05-02,10,22.6,S2,random_top_n,1215,2025-05-02
early_watch,-0.0861244019138756,-0.09090909090909094,0.009569377990430672,-0.09090909090909094,-0.09952606635071093,0,0,全家,2025-05-02,11,22.6,S2,random_top_n,5903,2025-05-02
early_watch,-0.07855620102143179,-0.11464963664804895,0.24117974740709913,-0.11464963664804895,-0.28668642458797566,0,0,泰鼎-KY,2025-05-02,12,0.0,S2,random_top_n,4927,2025-05-02
early_watch,-0.08620689655172409,-0.11206896551724133,0.02586206896551735,-0.11206896551724133,-0.134453781512605,0,0,茂順,2025-05-02,13,5.0,S2,random_top_n,9942,2025-05-02
early_watch,-0.03555555555555556,-0.10444444444444445,0.08000000000000007,-0.10444444444444445,-0.17078189300411528,0,0,上銀,2025-05-02,14,19.6,S2,random_top_n,2049,2025-05-02
early_watch,2.058455114822547,-0.07098121085594988,2.058455114822547,-0.07098121085594988,-0.1627705627705628,1,0,富世達,2025-05-02,15,16.6,S2,random_top_n,6805,2025-05-02
early_watch,-0.12715520111757472,-0.3200431422515362,0.4331896080415132,-0.3200431422515362,-0.3984962406015038,0,0,達運光電,2025-05-02,16,1.0,S2,random_top_n,8045,2025-05-02
early_watch,0.9626555389363849,-0.002074736249698339,1.219916977309912,-0.002074736249698339,-0.1897196546893254,0,0,瀚宇博,2025-05-02,17,16.6,S2,random_top_n,5469,2025-05-02
early_watch,0.12631578947368438,-0.23759398496240602,0.12631578947368438,-0.23759398496240602,-0.26415094339622647,0,0,大田,2025-05-02,18,14.6,S2,random_top_n,8924,2025-05-02
early_watch,-0.20425138632162665,-0.3179297597042514,0.12754158964879858,-0.3179297597042514,-0.3950819672131147,0,0,凱衛,2025-05-02,19,25.6,S2,random_top_n,5201,2025-05-02
early_watch,0.06792972790776064,-0.05989580064390898,0.19140637167730157,-0.05989580064390898,-0.21092901489809812,0,0,皇昌,2025-05-02,20,16.6,S2,random_top_n,2543,2025-05-02
early_watch,-0.24757281553398058,-0.25728155339805825,0.2621359223300972,-0.25728155339805825,-0.4115384615384615,0,0,宇峻,2025-05-02,1,36.6,S2,breakout_120d_only,3546,2025-05-02
early_watch,-0.21074380165289253,-0.2272727272727273,0.1425619834710743,-0.2272727272727273,-0.3236889692585895,0,0,大塚,2025-05-02,2,33.6,S2,breakout_120d_only,3570,2025-05-02
early_watch,-0.10082079759129059,-0.18467858133843462,0.02599172890154655,-0.18467858133843462,-0.18467858133843462,0,0,台產,2025-05-02,3,36.6,S2,breakout_120d_only,2832,2025-05-02
early_watch,-0.043895809474033265,-0.06995882534118514,0.11522635596786612,-0.06995882534118514,-0.16605165428352475,0,0,中聯資源,2025-05-02,4,21.6,S2,breakout_120d_only,9930,2025-05-02
early_watch,0.21299638989169667,-0.09747292418772568,0.22382671480144412,-0.09747292418772568,-0.09747292418772568,0,0,柏文,2025-05-02,5,32.6,S2,breakout_120d_only,8462,2025-05-02
early_watch,-0.3710526315789474,-0.4078947368421053,0.3526315789473684,-0.4078947368421053,-0.5622568093385214,0,0,辣椒,2025-05-02,6,0.0,S2,breakout_120d_only,4946,2025-05-02
early_watch,-0.20525783619817994,-0.21435793731041453,-0.005055611729019249,-0.21435793731041453,-0.21435793731041453,0,0,雙美,2025-05-02,7,27.6,S2,breakout_120d_only,4728,2025-05-02
early_watch,-0.02163456115849427,-0.062499965612703656,0.012019231210093517,-0.062499965612703656,-0.07363417070018818,0,0,特力,2025-05-02,1,10.6,S2,volume_expansion_only,2908,2025-05-02
early_watch,0.33333333333333326,-0.07171715630425346,0.556963988024779,-0.07171715630425346,-0.20353985885845804,0,0,麗臺,2025-05-02,2,19.6,S2,volume_expansion_only,2465,2025-05-02
early_watch,0.12915129151291516,0.007380073800737907,0.2656826568265682,0.007380073800737907,-0.13702623906705536,0,0,中興電,2025-05-02,3,22.6,S2,volume_expansion_only,1513,2025-05-02
early_watch,0.31188118811881194,-0.0643564356435643,0.4900990099009901,-0.0643564356435643,-0.1611295681063123,0,0,信紘科,2025-05-02,4,25.6,S2,volume_expansion_only,6667,2025-05-02
early_watch,-0.14343431260850692,-0.14343431260850692,0.07070707070707072,-0.14343431260850692,-0.19999997120983193,0,0,宏盛,2025-05-02,5,21.6,S2,volume_expansion_only,2534,2025-05-02
early_watch,-0.14031967705572035,-0.1518649973876438,0.03907639063503332,-0.1518649973876438,-0.18376068376068377,0,0,台肥,2025-05-02,6,33.2,S2,volume_expansion_only,1722,2025-05-02
early_watch,-0.24757281553398058,-0.25728155339805825,0.2621359223300972,-0.25728155339805825,-0.4115384615384615,0,0,宇峻,2025-05-02,7,36.6,S2,volume_expansion_only,3546,2025-05-02
early_watch,-0.11089471875358003,-0.11089471875358003,0.20320866452407071,-0.11089471875358003,-0.26105478836615126,0,0,錸寶,2025-05-02,8,22.6,S2,volume_expansion_only,8104,2025-05-02
early_watch,-0.23274695534506096,-0.24898511502029774,0.1826792963464141,-0.24898511502029774,-0.36498855835240274,0,0,泰谷,2025-05-02,9,33.2,S2,volume_expansion_only,3339,2025-05-02
early_watch,-0.22128855341874332,-0.22408963106535518,0.0364145436772676,-0.22408963106535518,-0.2513513307313662,0,0,農林,2025-05-02,10,22.6,S2,volume_expansion_only,2913,2025-05-02
early_watch,-0.28441754419133547,-0.28441754419133547,0.21482609539236508,-0.28441754419133547,-0.41095893599688815,0,0,盛達,2025-05-02,11,25.6,S2,volume_expansion_only,3027,2025-05-02
early_watch,0.08644400785854622,-0.2082514734774067,0.3320235756385068,-0.2082514734774067,-0.26325411334552107,0,0,精確,2025-05-02,12,22.6,S2,volume_expansion_only,3162,2025-05-02
early_watch,-0.05555555555555558,-0.16111112523961946,0.04629629629629628,-0.16111112523961946,-0.19823010199892832,0,0,永豐餘,2025-05-02,13,19.6,S2,volume_expansion_only,1907,2025-05-02
early_watch,0.12654320987654333,-0.03703703703703698,0.3364197530864197,-0.03703703703703698,-0.16381418092909528,0,0,永捷,2025-05-02,14,21.6,S2,volume_expansion_only,4714,2025-05-02
early_watch,-0.28336379860714034,-0.28336379860714034,0.13345519442856157,-0.28336379860714034,-0.36774192317839594,0,0,穎漢,2025-05-02,15,23.6,S2,volume_expansion_only,4562,2025-05-02
early_watch,-0.10082079759129059,-0.18467858133843462,0.02599172890154655,-0.18467858133843462,-0.18467858133843462,0,0,台產,2025-05-02,16,36.6,S2,volume_expansion_only,2832,2025-05-02
early_watch,1.5375626043405677,-0.046744574290484064,1.7011686143572624,-0.046744574290484064,-0.2608158220024722,0,0,富喬,2025-05-02,17,21.6,S2,volume_expansion_only,1815,2025-05-02
early_watch,-0.0029325067036874986,-0.13782988463057289,0.1583578230942455,-0.13782988463057289,-0.1945205583964309,0,0,四維航,2025-05-02,18,8.6,S2,volume_expansion_only,5608,2025-05-02
early_watch,0.6285714285714286,-0.02857142857142858,0.7476190476190476,-0.02857142857142858,-0.1629834254143646,0,0,世禾,2025-05-02,19,19.6,S2,volume_expansion_only,3551,2025-05-02
